X.OTU.ID	taxonomy
06fd4ba7927f2daed090f17beb07376b	d__Bacteria;p__Planctomycetota;c__Brocadiae;o__SM23-32;f__Incertae_Sedis;g__Incertae_Sedis;s__uncultured_bacterium
fe35d71898b6904912bf196dcb1848ad	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Ectothiorhodospirales;f__Ectothiorhodospiraceae;g__Halofilum;s__uncultured_bacterium
93069c834ea799bb2427a19d91791bdf	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__DG-20;f__Incertae_Sedis;g__Incertae_Sedis;s__uncultured_organism
9ad75d2cfdfcf73f1e9fecc2354a2a0a	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__Phaeodactylibacter;s__uncultured_organism
90e85220720a64415ea4535b91897d9b	d__Bacteria;p__Gemmatimonadota;c__PAUC43f_marine_benthic_group;o__Incertae_Sedis;f__Incertae_Sedis;g__Incertae_Sedis;s__uncultured_bacterium
cbe88074a00e360d86894c2fe95f54aa	d__Bacteria;p__Thermodesulfobacteriota;c__Desulfuromonadia;o__Desulfuromonadales;f__Geoalkalibacteraceae;g__Geoalkalibacter;s__uncultured_bacterium
4a016fef1a08298011a8ca685309f692	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__Phycisphaeraceae;g__SM1A02;s__Unclassified
1b3072ef629210fb42ea07b607b458bb	d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__Pirellulaceae;g__Pir4_lineage;s__uncultured_organism
38ea681612e93c25660af70857750089	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__DG-20;f__Incertae_Sedis;g__Incertae_Sedis;s__uncultured_organism
a5e9a0b9b2443ff4a47cc93b182826ab	d__Bacteria;p__Acetothermia;c__Acetothermiia;o__KB1_group;f__Incertae_Sedis;g__Incertae_Sedis;s__uncultured_bacterium
2595712a01d363d82daa48f367408705	d__Bacteria;p__Acetothermia;c__Acetothermiia;o__KB1_group;f__Incertae_Sedis;g__Incertae_Sedis;s__uncultured_bacterium
e47e61c00b4c4bae3d5fa7d798b57a20	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinilabiliaceae;g__Incertae_Sedis;s__uncultured_organism
077fa38c065999763a3f6b412c8a0330	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__DG-20;f__Incertae_Sedis;g__Incertae_Sedis;s__uncultured_organism
215ae4a76aeef2a77d755244a959a66b	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__Lewinella;s__uncultured_organism
814b10f610bd9cb43e8466f48389d4a3	d__Bacteria;p__Thermodesulfobacteriota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfohalobiaceae;g__Desulfovermiculus;s__Desulfohalobium_utahense
8805fae1188e39316000cd8f7cd2aa76	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Hyphomonadaceae;g__Hyphomonas;s__uncultured_organism
273fc4dd5e967bf2c2383deec3069343	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacterales;f__Haloferacaceae;g__A07HB70;s__uncultured_Halobacteriales
e48e31548a6b0389dd513b3256ad6a55	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacterales;f__Halomicrobiaceae;g__Halomicrobium;s__uncultured_Halobacteria
0d3703f2d778aed6192285e78cd2847a	d__Bacteria;p__Acetothermia;c__Acetothermiia;o__KB1_group;f__Incertae_Sedis;g__Incertae_Sedis;s__uncultured_bacterium
216f14eaa610900104531bb428c90c44	d__Bacteria;p__Gemmatimonadota;c__BD2-11_terrestrial_group;o__Incertae_Sedis;f__Incertae_Sedis;g__Incertae_Sedis;s__uncultured_organism
2400efb2a2e9801221a3cd484bd091a3	d__Bacteria;p__Myxococcota;c__Myxococcia;o__Myxococcales;f__Myxococcaceae;g__P3OB-42;s__uncultured_proteobacterium
fba86d59a8784a91b9172ecdfe90cd74	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacterales;f__Haloferacaceae;g__Haloplanus;s__Unclassified
7f074e3674770471d76dbd149c1c3b13	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Vibrio;s__Unclassified
c5595270a37d27af05a0335e39a24279	d__Bacteria;p__Latescibacterota;c__Incertae_Sedis;o__Incertae_Sedis;f__Incertae_Sedis;g__Incertae_Sedis;s__uncultured_bacterium
42fb12511e9329c52dddc2722b069a50	d__Archaea;p__Methanobacteriota;c__Thermococci;o__Methanofastidiosales;f__Incertae_Sedis;g__Incertae_Sedis;s__uncultured_archaeon
9757280802d72b8a2b0929a5bb48c8ed	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__AKAU3564_sediment_group;g__Incertae_Sedis;s__uncultured_bacterium
9f39ce7443d9be75aa45b4d5d906edf8	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Incertae_Sedis;f__Incertae_Sedis;g__Incertae_Sedis;s__uncultured_crenarchaeote
2e47650403e50fd91590b2ef1836c3ea	d__Bacteria;p__Thermodesulfobacteriota;c__Desulfobacteria;o__Desulfatiglandales;f__Desulfatiglandaceae;g__Desulfatiglans;s__uncultured_bacterium
5707f24120cbc496d1f054341f458bae	d__Bacteria;p__Rhodothermota;c__Rhodothermia;o__Rhodothermales;f__Rhodothermaceae;g__Salinibacter;s__Unclassified
d8d2f779f68db5b72376aa30457f7f0f	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Nitrosococcales;f__Nitrosococcaceae;g__CI75cm.2.12;s__uncultured_organism
