Taxa and Samples	PR10B	PR11B	PR12B	PR13B	PR14B	PR15B	PR16B	PR17B	PR18B	PR19B	PR20B	PR21B	PR22B	PR23B	PR24B	PR25B	PR26B	PR27B	PR28B	PR29B	PR30B	PR31B	PR32B	PR33B	PR34B	PR35B	PR36B	PR5B	PR6B	PR7B	PR8B	PR9B
f268fd0f31f1898204844c0877d64f63	1.56410846422721	11.1971918894115	11.4927992337634	8.56546280103666	7.06612582166297	2.64441177506542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.11695811987073
25555ff1377720ce4ef69f27ffb40591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.8319464539947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f8bc094ac8ff30f5375e3e65b15b15fd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.8115674996513	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
eca2c10ecca15018674e25102bb98c8e	0	0	0	0	0	0	0	0	0	0	0	1.92345198698048	0	11.3505587664945	0	9.35582868701909	8.81110449556316	0	0	0	0	0	0	0	0	1.18929306295964	0	0	0	0	0	0
f6d2bf2c050df08e96b93d4a3f4f769b	0	0	0	0	0	0	0	3.78720823848499	5.35177986992512	0	0	0	0	0	0	0	0	6.50286663815434	4.65444016785003	0	0	6.52316290049007	7.24503188593935	8.91066406457364	8.71922607781019	8.84155327431017	8.69698972158529	0	0	0	0	0
105d81154873f6002fc82eab5201661e	0	5.05276934298105	6.50771071085612	8.97443762721995	10.7604570660904	7.73565009298533	3.84055689662048	0	0	3.83981198187478	0	6.68409411260708	6.72422497337852	0	0	2.34947442177302	0	4.18723069104491	5.5113228999845	6.61550055064504	7.29155701022245	2.41161370542445	3.29737727320218	0	2.16818445081226	1.91617893474656	2.1348319140075	0	0	0	0	0
0e6cb04849ee6b8dd869410e5e7c92b9	0	0	0	0	0	0	0	0	0	0	0	0	0	6.7066448676678	11.5407421031709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7c44e7850c8d104be5a76cfeefb6ee44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.63661373503137	7.75381285608176	7.66158670117837	5.64418558963123	9.27290691211385	7.80274159096096	5.97163327789448	4.97028392444435	6.95077087907041	7.26335070430637	0	0	0	0	0
9eea106a3cd3d542aa7bf524db33c4eb	6.3670121838444	0	0	1.74101567313897	1.1617206441976	6.21416177663417	7.14442894818209	4.99418394388965	3.97581083156546	0	0	0	0	0	0	0	0	7.30886283410993	6.42226128143106	4.99906206842017	0.876111717479774	8.83552284868846	8.36226013796744	7.50335486843611	6.96113214719937	7.37283069675288	7.7514452122469	0	0	0	0	5.96382597597395
b10b736d731d56d69b4c366bc308c1bc	0	11.4204382006647	10.7351725377633	6.02064345243139	6.96973434657265	3.44906131518535	0	0.753628408550604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.676776006490847	0	0	0	0	0
1b14eceb1788ed33f2b299fd8fb115a7	6.81437082210671	0	0	3.17506601370974	2.41422846184602	9.66673659938716	11.499044889154	5.68754753033819	5.11106092629633	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.37454454582764	3.24192376845035	0	0	0	0	0	0	6.56668917591646
d87fa1df63330abfa41e3705487ae63f	3.74351482752555	8.37998924806312	7.94931308683974	9.49962979795664	8.46729163501135	6.23107337518748	5.23443646553579	2.35506346710009	5.35177986992512	5.31635311371594	7.03411985468382	5.27933999144861	4.30023915574577	0	0	0	0	6.22639049437416	6.86443472665114	6.42495584470717	8.19808222141824	5.40212886168875	4.66828408421869	2.07517585269537	2.99804173281766	2.71115173969158	3.65216828172753	0	0	0	0	3.97142844009922
15c45aad2de42655d223c2a8464e70ed	5.09879437266577	2.6111398030378	0	4.25340610879026	3.31759305704031	5.66123852008617	4.39155431412015	0	0	0	0	3.5124009013502	3.89652369474344	0	0	5.47162625055281	0	8.27103299357774	8.08348588358128	8.11485199745744	6.03575496344742	8.74237129609971	8.38757377661481	4.85834640783578	3.97397825646046	3.11810359107021	3.37538619469709	0	0	0	0	4.80921109758248
dfd3607e94bd48149046ac8994a29c85	7.61981439318225	0	0	2.41973742463121	3.36167112089162	7.9137973868372	7.63017766721089	5.13227737247186	4.44206092668017	0	0	0	0	4.39828495615532	0	2.04702533482589	0	7.28313239511968	6.73049067279639	7.65074067033926	5.71473136567391	8.95058214508197	8.14867193860658	3.31515580143669	2.57675766197662	2.84572026838101	3.55755003436567	0	0	0	0	6.83901031784608
8601a2096870b518d97734719d03ca69	3.8776098018765	7.54293892645687	8.22675258199909	2.50726396055816	4.441203648576	3.62996457274688	3.38393931260314	3.34298684163249	3.73099945158932	8.89658272960888	7.96972348578506	7.10452088913857	5.88854970367453	0	0	3.04070233694317	0	6.57734565531903	8.74258012610171	5.5389706013461	7.37379249023301	4.87403617518838	2.41188273159367	2.59705557270918	5.10745113025799	4.71046986450168	4.74083196658425	0	0	0	0	3.37097252038041
01f1fe9ea58b6c8bd2139d9ff22d4663	5.41779197549168	0	0	0	0	5.539805977732	5.83491230699252	4.75857289184794	6.63661473002704	0	4.21438060757985	0	4.08999996635001	0	0	5.43191289686381	0	7.24936143886729	7.66313493001661	8.17988322421728	7.57260393972412	8.17994013746593	7.61776319148504	5.36367824432985	3.77513717904876	6.0509564683896	5.72996110336021	0	0	0	0	4.43924140526666
8cd5b603f3838090090efe9fa124d8e2	3.81211972917529	0	4.96230356834551	6.3276383109259	9.98406776730087	9.90535803224113	8.730142418217	1.37891760881059	0	0	0	0	0	0	0	0	0	0	3.58921869869857	2.72957067702301	0	0	0	0	0	0	0	0	0	0	0	2.11695811987073
45dcec1bae654261807c75e6a765814a	5.38438600091562	4.58462457907043	0	0	2.23625468282088	7.97698420556187	5.50524839356108	9.46307336391042	9.75993812530237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.6930495501574
